# SECTOR COUNT: 16
[SECTORS]
10,0,0xd6382d,0xf54236,0x9c2921,0,0,0,16
20,0,0xd6382d,0xf54236,0x9c2921,0,0,0,16
30,0,0xd6382d,0xf54236,0x9c2921,0,0,0,16
40,0,0xd6382d,0xf54236,0x9c2921,0,0,0,32
80,0,0x29ba48,0x43f068,0x209138,0,0,0,16
80,0,0x29ba48,0x43f068,0x209138,1,20,10,16
80,0,0x29ba48,0x43f068,0x209138,0,0,0,16
80,0,0x29ba48,0xd43f068,0x209138,0,0,0,16
80,0,0x29ba48,0xd43f068,0x209138,1,20,10,16
80,0,0x29ba48,0xd43f068,0x209138,0,0,0,16
30,0,0xa3a24b,0xd9d764,0x858338,0,0,0,16
30,0,0xa3a24b,0xd9d764,0x858338,0,0,0,16
10,0,0xa3a24b,0xd9d764,0x858338,0,0,0,16
10,0,0xa3a24b,0xd9d764,0x858338,0,0,0,16
30,10,0xa3a24b,0xd9d764,0x858338,0,0,0,16
30,10,0xa3a24b,0xd9d764,0x858338,0,0,0,16
[WALLS]
# SECTOR: 70,220,100,220
100,220,100,240
100,240,70,240
70,240,70,220
# SECTOR: 70,200,100,200
100,200,100,220
100,220,70,220
70,220,70,200
# SECTOR: 70,180,100,180
100,180,100,200
100,200,70,200
70,200,70,180
# SECTOR: 70,120,100,120
100,120,110,140
110,140,110,160
110,160,100,180
100,180,70,180
70,180,60,160
60,160,60,140
60,140,70,120
# SECTOR: 30,190,40,190
40,190,50,200
50,200,50,220
50,220,30,190
# SECTOR: 30,120,40,120
40,120,40,190
40,190,30,190
30,190,30,120
# SECTOR: 60,70,60,90
60,90,40,120
40,120,30,120
30,120,60,70
# SECTOR: 120,200,130,190
130,190,140,190
140,190,120,220
120,220,120,200
# SECTOR: 130,120,140,120
140,120,140,190
140,190,130,190
130,190,130,120
# SECTOR: 110,70,140,120
140,120,130,120
130,120,110,90
110,90,110,70
# SECTOR: 30,20,50,20
50,20,50,50
50,50,30,50
30,50,30,20
# SECTOR: 120,20,140,20
140,20,140,50
140,50,120,50
120,50,120,20
# SECTOR: 30,250,60,250
60,250,60,300
60,300,30,300
30,300,30,250
# SECTOR: 110,250,140,250
140,250,140,300
140,300,110,300
110,300,110,250
# SECTOR: 40,260,50,260
50,260,50,290
50,290,40,290
40,290,40,260
# SECTOR: 120,260,130,260
130,260,130,290
130,290,120,290
120,290,120,260
